id,name
time_1,N/A
time_2,00:00
time_3,00:30
time_4,01:00
time_5,01:30
time_6,02:00
time_7,02:30
time_8,03:00
time_9,03:30
time_10,04:00
time_11,04:30
time_12,05:00
time_13,05:30
time_14,06:00
time_15,06:30
time_16,07:00
time_17,07:30
time_18,08:00
time_19,08:30
time_20,09:00
time_21,09:30
time_22,10:00
time_23,10:30
time_24,11:00
time_25,11:30
time_26,12:00
time_27,12:30
time_28,13:00
time_29,13:30
time_30,14:00
time_31,14:30
time_32,15:00
time_33,15:30
time_34,16:00
time_35,16:30
time_36,17:00
time_37,17:30
time_38,18:00
time_39,18:30
time_40,19:00
time_41,19:30
time_42,20:00
time_43,20:30
time_44,21:00
time_45,21:30
time_46,22:00
time_47,22:30
time_48,23:00
time_49,23:30
